store_type,store_code,format_class,supermarket_format,basis
Supermarket,SM,supermarket,true,"Establishments commonly known as supermarkets, food stores, grocery stores and food warehouses primarily engaged in the retail sale of an extensive variety of grocery and other store merchandise; typically ten or more checkout lanes."
Super Store,SS,supermarket,true,"USDA name ""Super Store/Chain Store"": very large supermarkets, big-box stores, super stores and food warehouses; includes large food/drug combination stores, mass merchandisers, and membership retail/wholesale hybrids."
Large Grocery Store,LG,grocery,false,"A store that carries a wide selection of all four staple food categories; primary stock is food."
Medium Grocery Store,MG,grocery,false,"A store that carries a moderate selection of all four staple food categories; primary stock is food."
Small Grocery Store,SG,grocery,false,"A store that carries a small selection of all four staple food categories; primary stock is food."
Combination Grocery/Other,CO,combination,false,"Primary business is the sale of general merchandise with a variety of food products: independent drug stores, dollar stores, general stores."
Convenience Store,CS,convenience,false,"Self-service stores offering a limited line of convenience items, typically open long hours; grocery items in limited amounts."
Meat/Poultry Specialty,ME,specialty,false,"USDA name ""Specialty Food Store - Meat/Poultry Products"": specializing in meat products."
Seafood Specialty,SE,specialty,false,"USDA name ""Specialty Food Store - Seafood Products"": specializing in seafood products."
Fruits/Veg Specialty,FV,specialty,false,"USDA name ""Specialty Food Store - Fruits/Vegetables"": specializing in fruits and/or vegetables at a fixed or semi-permanent location, including produce stands not affiliated with a farmers' market."
Bakery Specialty,BB,specialty,false,"USDA name ""Specialty Food Store - Bakery/Bread"": specializing in bread/cereal products."
Farmers' Market,FM,farmers_market,false,"A single- or multi-stall market selling agricultural products, particularly fresh fruit and vegetables, to the general public; the organization operating the market location."
Delivery Route,DR,other,false,"No permanent store location: delivery routes and rolling routes; not a destination a person travels to."
Food Buying Co-op,BC,other,false,"USDA name ""Non-Profit Food Buying Cooperative"": any store that operates as a cooperative; membership-based."
Military Commissary,MC,other,false,"Retail food entities on military installations; only authorized shoppers with military ID may shop."
Wholesaler,,other,false,"Label present in the historical file but absent from the USDA store-type definitions page; not a retail destination."
Unknown,,other,false,"Label present in the historical file but absent from the USDA store-type definitions page; no format information."
